ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,―,する,その他,"27,500",1,A1107,通常,ポリビニルアセタールジエチルアミノアセテート,（未設定）,338 : ＡＥＡ　（＝ポリビニルアセタールジエチルアモノアセテート） ／  ／ クオリテックファーマ ／ イワキ㈱,,12 ヵ月,目黒化工から社名変更(販売元:三菱化学フーズ),AEA,ｴｰｲｰｴｰ,g（1）,,1％,可能,10kg,,images\1.jpg,kg,10kg,,クオリテックファーマ㈱,薬添規,購買,スペラネクサス㈱,0.105kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"7,900",101,B2103,通常,カスタードフレーバー YF-9359,（未設定）,071 : カスタードフレーバーYF-9359 ／  ／ 山本香料㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,カスタードフレーバー YF-9359,ｶｽﾀｰﾄﾞﾌﾚｰﾊﾞｰ ﾜｲｴﾌｷﾕｳｻﾝｺﾞｷﾕｳ,g（1）,,1％,可能,1kg,【比重】実績平均値:1.026,images\101.jpg,kg,1kg,,山本香料㈱,香料,購買,日本バルク薬品㈱,0.75kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,保証製造後2年,する,その他,384,103,A2111,通常,果糖,（未設定）,073 : 結晶果糖 ／  ／ ＡＤＭ ／ 金剛薬品㈱,,12 ヵ月,,結晶果糖M,ｹﾂｼﾖｳｶﾄｳｴﾑ,g（1）,,1％,可能,25kg,1000Kgか2700kgで発注。土日挟んでの出荷不可。月曜納品×。(結晶果糖)トルコ品商品名:ADM 結晶果糖 M ADMR Crystalline Fructose M・一般名:果糖(アメリカ品:Corn sweet crystalline Fructose(結晶果糖) )【変更23-081】結晶果糖 製造拠点移管品(トルコ)の追加 2023.7.3入荷分より,images\103.jpg,kg,25kg,,ADMジャパン㈱,日局,購買,金剛薬品㈱,0.2kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,230,105,A2106,通常,果糖ブドウ糖液糖,（未設定）,317 : フジフラクトＨ-100Ｊ　（＝果糖ブドウ糖液糖） ／ 薬添規 ／ 日本食品化工 ／ 日本バルク薬品㈱,,12 ヵ月,,フジフラクト H-100J,ﾌｼﾞﾌﾗｸﾄｴｲﾁﾋﾔｸｼﾞｴｲ,g（1）,,1％,可能,25kg,みどりヶ丘工場、新エゾエースHに使用。ゆめぽりす工場は使用製品なし。再試験可能。,images\105.jpg,kg,25kg,,日本食品化工㈱,薬添規,購買,日本バルク薬品㈱,1.15kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,210,106,F0115,通常,果糖ブドウ糖液糖,（未設定）,316 : フジフラクトＨ-100　（食品グレード） ／ 食添 ／ 日本食品化工 ／ 日本バルク薬品㈱,国内製造,12 ヵ月,,フジフラクト H-100,ﾌｼﾞﾌﾗｸﾄ ｴｲﾁﾋﾔｸ,g（1）,,1％,可能,25kg,【原産国表示対象】果糖ブドウ糖液糖、原産国(表示内容):国内製造※再試験実施不可原料。期限切れは廃棄になる。,images\106.jpg,kg,25kg,,日本食品化工㈱,食品メーカー規格,購買,日本バルク薬品㈱,1.24kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"8,000",107,F0011,通常,カフェイン(抽出物),（未設定）,075 : カフェイン（抽出物） ／ 食添 ／ 白鳥製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,2012/9/24より茶の素から名称変更,カフェイン(抽出物),ｶﾌｴｲﾝﾁﾕｳｼﾕﾂﾌﾞﾂ,g（1）,,1％,可能,16kg,,,kg,16kg,,白鳥製薬㈱,食品メーカー規格,購買,日本バルク薬品㈱,0.23kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,―,する,主薬,"4,250",108,A2107,補正対象,カフェイン水和物,（未設定）,074 : カフェイン含水 ／ ？日局 ／ 八代製薬 ／ 日本バルク薬品㈱,,12 ヵ月,劇物,カフェイン水和物,ｶﾌｴｲﾝｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,10kg,「カフェイン含水」で発注している。,images\108.jpg,kg,10kg,乾燥減量**%,八代製薬㈱,日局,購買,日本バルク薬品㈱,0.09kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"1,650",113,A2105,通常,カラメルⅣ,（未設定）,079 : カラメルCD ／ 薬添規 ／ 池田糖化工業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,サラサラ,カラメルCD,ｶﾗﾒﾙｼｰﾃﾞｲｰ,g（1）,,1％,可能,22.5kg,1kg・22.5kg(エルピスゴールド),,kg,22.5kg,,池田糖化工業㈱,食添,購買,日本バルク薬品㈱,1.25kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"5,950",114,A6508,通常,カルナウバロウ,（未設定）,336 : ポリシングワックス105　（＝カルナウバロウ） ／ 日局 ／ フロイント産業㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ポリシングワックス-105,ﾎﾟﾘｼﾝｸﾞﾜﾂｸｽｲﾁｾﾞﾛｺﾞ,g（1）,,1％,可能,5kg,日本薬局方 カルナウバロウ,images\114.jpg,kg,5kg,,フロイント産業㈱,日局,購買,日本バルク薬品㈱,0.1kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,―,する,その他,"4,000",115,A6502,通常,カルナウバロウ,（未設定）,081 : カルナウバロウ（日局） ／ 日局 ／ 小城製薬㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,カルナウバロウ,ｶﾙﾅｳﾊﾞﾛｳ,g（1）,,1％,可能,1kg,,images\115.jpg,kg,1kg,,小城製薬㈱,日局,購買,日本バルク薬品㈱,0.025kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,―,する,その他,"2,125",116,A2109,通常,カルメロースカルシウム,（未設定）,083 : カルメロースカルシウムＥＣＧ-505 ／ 日局 ／ ニチリン化学㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,カルメロースカルシウム E.C.G-505,ｶﾙﾒﾛｰｽｶﾙｼｳﾑ ｲｰｼｰｼﾞｰｺﾞｾﾞﾛｺﾞ,g（1）,,1％,可能,20kg,,images\116.jpg,kg,20kg,,ニチリン化学工業㈱,日局,購買,日本バルク薬品㈱,0.15kg,,
