工場,製品ID,パターン,製品名,販売先,原料CD,原料名,製造所,補正区分,配合量(kg),秤量区分,秤量場所,投入G番号,投入G名称,使用状況,備考
ゆめが丘工場,109,1,ホルサ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.1,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,429,マクロゴール 400,日油㈱,通常,15.2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,2.5,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,495,クロタミトン,住友化学㈱,通常,10,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,1,ホルサ水虫液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,73.3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.15,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,429,マクロゴール 400,日油㈱,通常,22.8,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,495,クロタミトン,住友化学㈱,通常,15,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,2,ホルサ水虫液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,110,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,109,3,ホルサ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.1,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,429,マクロゴール 400,日油㈱,通常,15.2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,2.5,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,495,クロタミトン,住友化学㈱,通常,10,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,3,ホルサ水虫液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,59.768,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.15,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,429,マクロゴール 400,日油㈱,通常,22.8,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,495,クロタミトン,住友化学㈱,通常,15,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,109,4,ホルサ水虫液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,89.693,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,113,1,ルーフ水虫液,自社,144,（使用終了）(仮)グリチルレチン酸,丸善製薬㈱,通常,1.5,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,211,ジフェンヒドラミン塩酸塩,金剛化学㈱,通常,3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,429,マクロゴール 400,日油㈱,通常,31.95,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,1,ルーフ水虫液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,115,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,113,2,ルーフ水虫液,自社,145,グリチルレチン酸,アルプス薬品工業㈱,通常,1.5,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,211,ジフェンヒドラミン塩酸塩,金剛化学㈱,通常,3,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,429,マクロゴール 400,日油㈱,通常,31.95,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,2,ルーフ水虫液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,115,前添,えき工場2F,1,,使用終了,(使用終了)グリチルレチン酸新メーカー(アルプス)
ゆめが丘工場,113,3,ルーフ水虫液,自社,145,グリチルレチン酸,アルプス薬品工業㈱,通常,1.5,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,211,ジフェンヒドラミン塩酸塩,金剛化学㈱,通常,3,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,429,マクロゴール 400,日油㈱,通常,31.95,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,465,リドカイン(DELTA),DELTA,通常,3.75,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,113,3,ルーフ水虫液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,93.77,前添,えき工場2F,1,,使用中,アルコール(コニシ)
ゆめが丘工場,117,1,ミコナック液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.1,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,429,マクロゴール 400,日油㈱,通常,15.2,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,465,リドカイン(DELTA),DELTA,通常,2.5,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,495,クロタミトン,住友化学㈱,通常,10,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,1,ミコナック液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,73.3,前添,えき工場2F,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,4,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.4,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.2,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,429,マクロゴール 400,日油㈱,通常,30.4,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,2,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,465,リドカイン(DELTA),DELTA,通常,5,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,495,クロタミトン,住友化学㈱,通常,20,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,2,ミコナック液,自社,78,（使用終了）一般アルコール95度 一級発酵,日興製薬㈱,通常,146.6,前添,ひかり工場,1,,使用終了,(使用終了)
ゆめが丘工場,117,3,ミコナック液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,4,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.4,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.2,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,429,マクロゴール 400,日油㈱,通常,30.4,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,2,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,465,リドカイン(DELTA),DELTA,通常,5,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,495,クロタミトン,住友化学㈱,通常,20,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,3,ミコナック液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,146.6,前添,ひかり工場,1,,使用終了,(使用終了)アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.1,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,429,マクロゴール 400,日油㈱,通常,15.2,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,465,リドカイン(DELTA),DELTA,通常,2.5,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,495,クロタミトン,住友化学㈱,通常,10,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,4,ミコナック液,自社,548,95度一般エタノール(発酵),コニシ㈱,通常,59.768,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,196,サリチル酸,㈱エーピーアイコーポレーション,通常,3,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,28,l-メントール(メントールJP),高砂香料工業㈱,通常,0.3,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,387,ヒノキチオール,㈱高砂ケミカル,通常,0.15,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,429,マクロゴール 400,日油㈱,通常,22.8,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
ゆめが丘工場,117,5,ミコナック液,自社,437,ミコナゾール硝酸塩,ERREGIERRE,通常,1.5,前添,えき工場2F,1,,使用中,【品証チェック済】アルコール(コニシ)
